item,item_count,iterations_count,time_in_nanoseconds
649775,1137,12,804
11603,1138,13,1020
764086,1139,13,971
341557,1140,11,1023
339962,1141,12,1067
413726,1142,13,1123
152669,1143,10,632
806656,1144,13,1310
777982,1145,15,16850
608883,1146,16,1602
150116,1147,12,1053
216937,1148,13,1481
952802,1149,11,1030
410887,1150,10,559
812555,1151,11,854
772713,1152,12,924
759874,1153,13,1167
9827,1154,14,1670
727889,1155,11,990
609185,1156,12,863
847020,1157,12,852
406167,1158,14,1815
648509,1159,10,774
960028,1160,11,916
111093,1161,14,1683
145614,1162,12,872
721995,1163,13,1337
232951,1164,13,1239
321463,1165,14,1622
385085,1166,14,1605
930546,1167,11,825
157533,1168,10,683
71080,1169,10,705
103094,1170,11,629
762958,1171,13,1627
865770,1172,19,1294
10519,1173,11,587
205721,1174,14,5776
27759,1175,14,951
275505,1176,12,1042
902341,1177,12,796
276713,1178,18,725
708286,1179,10,690
616601,1180,10,891
91037,1181,12,944
451132,1182,12,974
517574,1183,13,3558
881314,1184,12,909
174545,1185,9,723
244108,1186,12,727
345958,1187,14,1329
570309,1188,10,810
587667,1189,13,1022
259884,1190,12,891
646354,1191,10,914
257658,1192,15,445
136685,1193,14,2366
825492,1194,14,1375
771457,1195,14,1422
223571,1196,14,15367
565118,1197,9,855
545565,1198,12,1730
551927,1199,10,648
279174,1200,12,723
941586,1201,14,1521
992328,1202,13,1098
329455,1203,13,968
945416,1204,16,1516
107100,1205,15,1496
486712,1206,14,1248
677028,1207,10,798
611924,1208,11,812
632082,1209,14,1278
616896,1210,13,1223
865596,1211,15,1449
367370,1212,12,1155
287973,1213,12,988
333143,1214,14,1300
227794,1215,14,1504
231541,1216,13,977
155420,1217,13,1819
274280,1218,12,871
447902,1219,12,935
32613,1220,11,927
438028,1221,13,790
197574,1222,11,907
595459,1223,14,1191
227771,1224,15,991
396662,1225,13,1120
604349,1226,11,543
565622,1227,9,524
788099,1228,15,1659
208893,1229,11,767
661700,1230,12,1160
267846,1231,12,883
830331,1232,10,756
791682,1233,11,544
459470,1234,14,1160
574283,1235,13,1424
871922,1236,14,1170
423454,1237,10,2791
121215,1238,13,2216
116463,1239,13,866
267788,1240,14,780
769275,1241,11,582
68028,1242,12,1095
834452,1243,13,857
645282,1244,12,1455
687632,1245,10,696
786779,1246,12,430
370145,1247,11,1228
834374,1248,14,700
341687,1249,14,1382
445114,1250,12,948
903212,1251,11,725
339364,1252,13,611
158188,1253,10,905
538219,1254,12,1090
299077,1255,14,4549
947076,1256,13,1278
208996,1257,13,1007
333389,1258,15,1275
39069,1259,11,706
725867,1260,10,774
615303,1261,10,911
974134,1262,13,1425
757842,1263,12,921
966625,1264,15,1342
894284,1265,13,3961
59148,1266,10,609
146840,1267,11,907
941902,1268,12,715
683440,1269,11,1053
824115,1270,15,1424
671941,1271,13,1057
458238,1272,11,722
495891,1273,12,1052
885664,1274,15,1474
799225,1275,14,1207
831300,1276,12,431
926831,1277,11,697
148364,1278,13,1457
755303,1279,14,1488
205562,1280,15,1828
373749,1281,11,622
281989,1282,14,1153
20933,1283,11,785
394342,1284,11,805
584070,1285,11,961
348254,1286,11,687
133964,1287,10,882
924152,1288,13,1111
852363,1289,15,1257
365319,1290,12,1144
123436,1291,13,948
989167,1292,12,876
128689,1293,14,887
421239,1294,13,1295
199056,1295,13,942
316060,1296,13,883
325956,1297,11,663
789253,1298,11,812
751177,1299,12,668
84927,1300,13,935
2087,1301,14,1010
735831,1302,13,958
445529,1303,12,986
634125,1304,10,882
299885,1305,15,1634
767665,1306,13,754
903135,1307,14,746
31635,1308,13,1367
23384,1309,11,527
302255,1310,12,478
610650,1311,11,1054
481268,1312,12,1131
679532,1313,14,1612
606798,1314,12,627
520795,1315,14,1373
316110,1316,14,823
614446,1317,13,612
280100,1318,12,635
839756,1319,13,2703
867323,1320,13,1950
626174,1321,12,1982
557104,1322,12,1192
601686,1323,13,1655
58804,1324,13,1667
643406,1325,12,1162
94476,1326,11,1078
838260,1327,12,1095
767887,1328,14,1612
8510,1329,15,1775
540351,1330,13,1300
880402,1331,12,1030
881641,1332,14,1000
608534,1333,15,1248
90479,1334,12,1277
23457,1335,13,1220
948062,1336,14,1325
379167,1337,13,1630
506291,1338,12,1134
728954,1339,14,1465
940213,1340,13,1085
605342,1341,17,1047
896135,1342,13,1052
64876,1343,11,881
766553,1344,17,1462
301486,1345,12,1391
109144,1346,14,1290
11940,1347,14,1323
91906,1348,11,607
298041,1349,13,836
570816,1350,13,972
741048,1351,14,1218
767987,1352,12,296
808467,1353,16,1891
130764,1354,11,1028
196304,1355,13,1310
147164,1356,13,1157
802227,1357,11,544
936504,1358,13,1202
533617,1359,10,749
979679,1360,14,1249
760334,1361,13,883
805884,1362,13,737
315111,1363,14,1205
386991,1364,15,1249
572689,1365,11,779
784255,1366,14,1177
167567,1367,9,1010
972245,1368,14,1446
396091,1369,13,1828
173034,1370,11,836
204670,1371,12,894
72525,1372,12,1031
353942,1373,11,784
793880,1374,17,1748
727953,1375,11,907
687437,1376,12,912
414928,1377,11,1147
409001,1378,11,735
433618,1379,11,708
620133,1380,10,895
344314,1381,12,914
197430,1382,12,839
52804,1383,10,868
